window_id,overlap_label,overlap_level,num_speakers,router_v2_method,router_v2_rule,is_mode_s,max_cr_separated,char_sep_error_rate,char_sep_errors,char_sep_length,char_sep_substitutions,char_sep_insertions,char_sep_deletions,char_sep_empty,char_mix_error_rate,char_mix_errors,char_mix_length,char_mix_substitutions,char_mix_insertions,char_mix_deletions,char_mix_empty,char_router_error_rate,char_oracle_error_rate,char_oracle_method,char_routing_regret,char_failure_window,char_primary_failure_mode,utter_sep_error_rate,utter_sep_errors,utter_sep_length,utter_sep_substitutions,utter_sep_insertions,utter_sep_deletions,utter_sep_empty,utter_mix_error_rate,utter_mix_errors,utter_mix_length,utter_router_error_rate,utter_oracle_error_rate,utter_oracle_method,utter_routing_regret,utter_failure_window,utter_primary_failure_mode
0,NoOverlap,0,6,separated,overlap==0 and mixed transcript long; keep separated,False,1.102,1.645455,181,110,103,77,1,False,0.963636,106,110,25,0,81,False,1.645455,0.963636,mixed,0.681818,True,separated_hallucination_cr_missed,2.333333,14,6,6,8,0,False,1.0,6,6,2.333333,1.0,mixed,1.333333,True,separated_hallucination_cr_missed
1,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,0.0,1.0,0,0,0,0,0,True,0.80625,129,160,72,0,57,False,1.0,0.80625,mixed,0.19375,True,wrong_route_nonhalluc,1.0,0,0,0,0,0,True,2.0,2,1,1.0,1.0,separated,0.0,False,none
2,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.32,0.663793,77,116,34,2,41,False,0.663793,77,116,42,1,34,False,0.663793,0.663793,separated,0.0,False,none,1.0,1,1,1,0,0,False,2.0,2,1,1.0,1.0,separated,0.0,False,none
3,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.3366,0.67052,116,173,31,1,84,False,0.722543,125,173,24,1,100,False,0.67052,0.67052,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
4,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
5,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,0.9286,0.951389,137,144,28,0,109,False,0.777778,112,144,52,0,60,False,0.951389,0.777778,mixed,0.173611,True,wrong_route_nonhalluc,2.0,2,1,1,1,0,False,1.0,1,1,2.0,1.0,mixed,1.0,True,separated_hallucination_cr_missed
6,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,1.5306,0.846626,138,163,54,0,84,False,0.815951,133,163,45,1,87,False,0.846626,0.815951,mixed,0.030675,True,wrong_route_nonhalluc,1.0,2,2,2,0,0,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
7,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
8,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.9009,0.95098,97,102,29,0,68,False,0.960784,98,102,41,0,57,False,0.960784,0.95098,separated,0.009804,True,wrong_route_nonhalluc,1.0,1,1,1,0,0,False,4.0,4,1,4.0,1.0,separated,3.0,True,mixed_hallucination
9,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
10,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
11,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,1.3548,0.693989,127,183,78,0,49,False,1.0,0,0,0,0,0,True,1.0,0.693989,separated,0.306011,True,wrong_route_nonhalluc,3.0,3,1,1,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
12,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.5469,0.691781,101,146,52,1,48,False,0.691781,101,146,52,1,48,False,0.691781,0.691781,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
13,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
14,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,1.3475,0.865922,155,179,84,2,69,False,0.871508,156,179,86,2,68,False,0.865922,0.865922,separated,0.0,False,none,1.0,2,2,2,0,0,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
15,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.4286,0.994536,182,183,1,0,181,False,1.0,0,0,0,0,0,True,1.0,0.994536,separated,0.005464,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
16,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,2.306,0.960396,194,202,141,26,27,False,1.0,0,0,0,0,0,True,1.0,0.960396,separated,0.039604,True,wrong_route_nonhalluc,1.0,2,2,2,0,0,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
17,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.6684,0.895683,249,278,135,1,113,False,1.0,0,0,0,0,0,True,1.0,0.895683,separated,0.104317,True,wrong_route_nonhalluc,1.333333,4,3,3,1,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
18,HeavyOverlap,3,3,separated,overlap>=3; choose separated,False,2.9655,0.901024,264,293,139,13,112,False,1.0,0,0,0,0,0,True,0.901024,0.901024,separated,0.0,False,none,1.666667,5,3,3,2,0,False,1.0,0,0,1.666667,1.0,mixed,0.666667,True,separated_hallucination_cr_caught
19,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.3493,0.914692,193,211,68,11,114,False,0.867299,183,211,64,0,119,False,0.867299,0.867299,mixed,0.0,False,none,1.0,2,2,2,0,0,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
20,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.3758,0.898305,159,177,95,0,64,False,1.0,0,0,0,0,0,True,1.0,0.898305,separated,0.101695,True,wrong_route_nonhalluc,2.0,4,2,2,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
21,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.6944,1.0,113,113,8,0,105,False,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.5,3,2,1,1,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
22,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,True,1.3679,0.491525,58,118,34,1,23,False,0.542373,64,118,41,0,23,False,0.491525,0.491525,separated,0.0,False,none,2.0,4,2,1,2,1,False,1.0,2,2,2.0,1.0,mixed,1.0,True,separated_hallucination_cr_missed
23,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,1.1777,1.574713,137,87,84,53,0,False,1.0,0,0,0,0,0,True,1.0,1.0,mixed,0.0,False,none,3.0,6,2,2,4,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
24,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.5,0.99435,176,177,2,0,174,False,1.0,0,0,0,0,0,True,1.0,0.99435,separated,0.00565,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
25,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.4601,0.663866,158,238,75,3,80,False,0.684874,163,238,56,9,98,False,0.684874,0.663866,separated,0.021008,True,wrong_route_nonhalluc,1.5,3,2,2,1,0,False,1.0,2,2,1.0,1.0,mixed,0.0,False,none
26,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,1.4098,0.856502,191,223,85,18,88,False,0.73991,165,223,65,1,99,False,0.856502,0.73991,mixed,0.116592,True,wrong_route_nonhalluc,3.5,7,2,2,5,0,False,1.0,2,2,3.5,1.0,mixed,2.5,True,separated_hallucination_cr_missed
27,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.4843,0.696203,165,237,68,1,96,False,0.696203,165,237,66,1,98,False,0.696203,0.696203,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
28,NoOverlap,0,3,mixed,overlap==0 short; choose mixed,False,0.8533,0.953704,103,108,27,0,76,False,1.0,0,0,0,0,0,True,1.0,0.953704,separated,0.046296,True,wrong_route_nonhalluc,2.0,6,3,2,3,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
29,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.0,0.868056,125,144,11,0,114,False,0.944444,136,144,60,1,75,False,0.944444,0.868056,separated,0.076389,True,wrong_route_nonhalluc,1.0,2,2,2,0,0,False,2.0,4,2,2.0,1.0,separated,1.0,True,mixed_hallucination
30,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,True,1.4916,0.802691,179,223,103,3,73,False,0.802691,179,223,98,4,77,False,0.802691,0.802691,separated,0.0,False,none,2.0,2,1,1,1,0,False,1.0,1,1,2.0,1.0,mixed,1.0,True,separated_hallucination_cr_missed
31,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.9912,0.968326,214,221,67,0,147,False,0.986425,218,221,58,0,160,False,0.968326,0.968326,separated,0.0,False,none,2.5,5,2,2,3,0,False,1.5,3,2,2.5,1.5,mixed,1.0,True,separated_hallucination_cr_missed
32,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.3813,0.809045,161,199,50,2,109,False,0.979899,195,199,21,0,174,False,0.979899,0.809045,separated,0.170854,True,wrong_route_nonhalluc,1.333333,4,3,2,1,1,False,1.333333,4,3,1.333333,1.333333,separated,0.0,False,none
33,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.1658,0.976077,204,209,96,0,108,False,0.880383,184,209,38,1,145,False,0.880383,0.880383,mixed,0.0,False,none,2.666667,8,3,2,5,1,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
34,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,2.2727,0.977901,177,181,63,0,114,False,0.867403,157,181,70,0,87,False,0.867403,0.867403,mixed,0.0,False,none,1.0,3,3,2,0,1,False,1.0,3,3,1.0,1.0,separated,0.0,False,none
35,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,0.9185,0.962264,102,106,42,1,59,False,1.0,0,0,0,0,0,True,1.0,0.962264,separated,0.037736,True,wrong_route_nonhalluc,2.0,2,1,1,1,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
36,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.3349,0.672515,115,171,37,0,78,False,0.678363,116,171,30,0,86,False,0.672515,0.672515,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
37,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.3843,0.626984,79,126,44,10,25,False,0.730159,92,126,60,1,31,False,0.626984,0.626984,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
38,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.2287,0.798561,111,139,45,2,64,False,0.870504,121,139,61,0,60,False,0.798561,0.798561,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
39,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.14,0.674419,58,86,29,0,29,False,0.662791,57,86,29,0,28,False,0.674419,0.662791,mixed,0.011628,True,wrong_route_nonhalluc,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
40,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.1806,0.5,39,78,20,1,18,False,0.961538,75,78,57,0,18,False,0.5,0.5,separated,0.0,False,none,1.0,1,1,1,0,0,False,6.0,6,1,1.0,1.0,separated,0.0,False,none
41,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.9068,0.955752,108,113,66,0,42,False,0.982301,111,113,82,0,29,False,0.955752,0.955752,separated,0.0,False,none,1.5,3,2,2,1,0,False,1.0,2,2,1.5,1.0,mixed,0.5,True,separated_hallucination_cr_missed
42,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.9709,0.989011,180,182,48,0,132,False,0.873626,159,182,49,0,110,False,0.989011,0.873626,mixed,0.115385,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.5,3,2,3.0,1.5,mixed,1.5,True,separated_hallucination_cr_missed
43,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,2.0157,0.938967,200,213,155,4,41,False,0.924883,197,213,91,0,106,False,0.924883,0.924883,mixed,0.0,False,none,1.666667,5,3,3,2,0,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
44,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0929,0.866029,181,209,40,1,140,False,0.937799,196,209,51,2,143,False,0.937799,0.866029,separated,0.07177,True,wrong_route_nonhalluc,1.0,3,3,2,0,1,False,1.0,3,3,1.0,1.0,separated,0.0,False,none
45,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,0.943,0.979695,193,197,108,0,85,False,0.974619,192,197,114,0,78,False,0.974619,0.974619,mixed,0.0,False,none,3.25,13,4,3,9,1,False,1.0,4,4,1.0,1.0,mixed,0.0,False,none
46,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,1.2375,0.822485,139,169,36,0,103,False,0.840237,142,169,40,0,102,False,0.822485,0.822485,separated,0.0,False,none,1.0,2,2,1,0,1,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
47,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,1.1212,0.988304,169,171,106,3,60,False,1.0,0,0,0,0,0,True,1.0,0.988304,separated,0.011696,True,wrong_route_nonhalluc,2.0,8,4,3,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
48,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0609,0.99005,199,201,122,8,69,False,0.900498,181,201,91,2,88,False,0.900498,0.900498,mixed,0.0,False,none,2.0,6,3,2,3,1,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
49,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,1.2671,0.930233,200,215,74,17,109,False,1.0,0,0,0,0,0,True,1.0,0.930233,separated,0.069767,True,wrong_route_nonhalluc,2.0,8,4,4,4,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
50,MidOverlap,2,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
51,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.2674,1.036145,258,249,115,20,123,False,0.963855,240,249,36,0,204,False,0.963855,0.963855,mixed,0.0,False,none,2.0,6,3,3,3,0,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
52,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.4049,0.752874,131,174,61,2,68,False,0.747126,130,174,51,0,79,False,0.747126,0.747126,mixed,0.0,False,none,1.0,3,3,3,0,0,False,1.0,3,3,1.0,1.0,separated,0.0,False,none
53,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.0777,0.959184,188,196,77,0,111,False,1.0,0,0,0,0,0,True,1.0,0.959184,separated,0.040816,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
54,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
55,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0679,0.941748,194,206,76,1,117,False,1.0,0,0,0,0,0,True,1.0,0.941748,separated,0.058252,True,wrong_route_nonhalluc,1.333333,4,3,3,1,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
56,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.0949,0.863436,196,227,17,1,178,False,0.9163,208,227,91,2,115,False,0.9163,0.863436,separated,0.052863,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
57,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.9573,0.983696,181,184,69,1,111,False,1.0,0,0,0,0,0,True,1.0,0.983696,separated,0.016304,True,wrong_route_nonhalluc,2.0,4,2,2,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
58,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.2656,0.819355,127,155,53,0,74,False,0.793548,123,155,52,0,71,False,0.819355,0.793548,mixed,0.025806,True,wrong_route_nonhalluc,1.0,1,1,1,0,0,False,2.0,2,1,1.0,1.0,separated,0.0,False,none
59,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,1.3081,0.783439,123,157,46,2,75,False,1.0,0,0,0,0,0,True,1.0,0.783439,separated,0.216561,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
60,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
61,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.2857,0.771277,145,188,46,2,97,False,0.771277,145,188,50,2,93,False,0.771277,0.771277,separated,0.0,False,none,1.0,4,4,1,0,3,False,1.0,4,4,1.0,1.0,separated,0.0,False,none
62,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.0,1.0,0,0,0,0,0,True,0.775641,121,156,60,4,57,False,1.0,0.775641,mixed,0.224359,True,wrong_route_nonhalluc,1.0,0,0,0,0,0,True,1.0,2,2,1.0,1.0,separated,0.0,False,none
63,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.9225,0.985437,203,206,60,0,143,False,1.0,0,0,0,0,0,True,1.0,0.985437,separated,0.014563,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
64,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
65,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.9744,1.13198,223,197,91,42,90,False,1.0,0,0,0,0,0,True,1.0,1.0,mixed,0.0,False,none,2.666667,8,3,3,5,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
66,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,0.6562,1.0,248,248,7,0,241,False,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,3,3,1,0,2,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
67,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.4286,1.0,226,226,2,0,224,False,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
68,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.1157,0.968966,281,290,127,0,154,False,0.931034,270,290,60,1,209,False,0.931034,0.931034,mixed,0.0,False,none,3.0,12,4,4,8,0,False,1.0,4,4,1.0,1.0,mixed,0.0,False,none
69,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.4085,0.866337,175,202,99,1,75,False,0.856436,173,202,82,2,89,False,0.856436,0.856436,mixed,0.0,False,none,1.5,3,2,2,1,0,False,1.0,2,2,1.0,1.0,mixed,0.0,False,none
70,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,0.9262,0.973262,182,187,85,0,97,False,0.989305,185,187,35,0,150,False,0.989305,0.973262,separated,0.016043,True,wrong_route_nonhalluc,1.666667,5,3,2,2,1,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
71,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
72,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.0663,0.955285,235,246,102,0,133,False,1.0,0,0,0,0,0,True,1.0,0.955285,separated,0.044715,True,wrong_route_nonhalluc,1.75,7,4,3,3,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
73,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,0.9276,0.967391,178,184,101,1,76,False,1.0,0,0,0,0,0,True,1.0,0.967391,separated,0.032609,True,wrong_route_nonhalluc,4.333333,13,3,3,10,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
74,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.028,0.987342,234,237,87,5,142,False,1.0,0,0,0,0,0,True,1.0,0.987342,separated,0.012658,True,wrong_route_nonhalluc,1.5,6,4,3,2,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
75,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.0,1.0,0,0,0,0,0,True,0.766667,138,180,87,21,30,False,1.0,0.766667,mixed,0.233333,True,wrong_route_nonhalluc,1.0,0,0,0,0,0,True,1.0,2,2,1.0,1.0,separated,0.0,False,none
76,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,1.0215,0.898551,124,138,56,1,67,False,1.0,0,0,0,0,0,True,1.0,0.898551,separated,0.101449,True,wrong_route_nonhalluc,3.0,3,1,1,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
