pair_id,overlap_ratio,noise_type,snr_db,track,cer_greedy,cer_energy_trim,cer_flatness_gate,cer_beam5,cer_halluc_silence,changed_energy_trim,changed_flatness_gate,changed_beam5,changed_halluc_silence
0,0.0,clean,clean,spk1,0.466667,0.466667,0.466667,0.4,0.466667,1,1,1,0
0,0.0,clean,clean,spk2,0.235294,0.235294,0.294118,0.235294,0.235294,1,1,0,0
0,0.0,white,10.0,spk1,0.4,0.4,0.4,0.4,0.4,0,0,0,0
0,0.0,white,10.0,spk2,0.176471,0.176471,0.176471,0.235294,0.176471,0,1,1,0
0,0.0,white,5.0,spk1,0.466667,0.466667,0.4,0.466667,0.466667,0,1,0,0
0,0.0,white,5.0,spk2,0.470588,0.470588,0.470588,0.411765,0.470588,0,1,1,0
0,0.0,white,0.0,spk1,0.8,0.8,1.0,0.733333,1.0,0,1,1,1
0,0.0,white,0.0,spk2,0.941176,0.941176,0.882353,0.941176,0.764706,0,1,1,1
0,0.0,pink,10.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.0,pink,10.0,spk2,0.176471,0.176471,0.176471,0.235294,0.176471,0,0,1,0
0,0.0,pink,5.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.0,pink,5.0,spk2,0.352941,0.352941,0.352941,0.470588,0.352941,0,0,1,0
0,0.0,pink,0.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.0,pink,0.0,spk2,1.058824,1.058824,1.058824,0.647059,0.647059,0,0,1,1
0,0.0,babble,10.0,spk1,0.6,0.6,0.6,0.6,0.6,0,0,0,0
0,0.0,babble,10.0,spk2,0.176471,0.176471,1.294118,0.294118,0.176471,0,1,1,0
0,0.0,babble,5.0,spk1,1.6,1.6,1.0,1.133333,1.6,0,1,1,0
0,0.0,babble,5.0,spk2,0.588235,0.588235,0.470588,0.588235,0.588235,0,1,1,0
0,0.0,babble,0.0,spk1,1.0,1.0,1.0,2.266667,1.0,0,0,1,0
0,0.0,babble,0.0,spk2,1.0,1.0,1.0,0.764706,1.0,0,0,1,0
0,0.1,clean,clean,spk1,0.466667,0.466667,0.466667,0.4,0.466667,1,1,1,0
0,0.1,clean,clean,spk2,0.176471,0.235294,0.294118,0.176471,0.176471,1,1,1,0
0,0.1,white,10.0,spk1,0.4,0.4,0.4,0.4,0.4,0,0,0,0
0,0.1,white,10.0,spk2,0.235294,0.235294,0.235294,0.294118,0.235294,0,0,1,0
0,0.1,white,5.0,spk1,0.4,0.4,0.466667,0.4,0.4,0,1,0,0
0,0.1,white,5.0,spk2,0.529412,0.529412,0.647059,0.470588,0.529412,0,1,1,0
0,0.1,white,0.0,spk1,0.6,0.6,0.6,0.6,0.6,0,0,0,0
0,0.1,white,0.0,spk2,0.941176,0.941176,6.588235,0.941176,0.941176,0,1,1,1
0,0.1,pink,10.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.1,pink,10.0,spk2,0.294118,0.294118,0.294118,0.294118,0.294118,0,0,1,0
0,0.1,pink,5.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.1,pink,5.0,spk2,0.529412,0.529412,0.529412,0.411765,0.529412,0,0,1,0
0,0.1,pink,0.0,spk1,0.533333,0.533333,0.533333,0.533333,0.533333,0,0,0,0
0,0.1,pink,0.0,spk2,0.647059,0.647059,0.647059,0.294118,0.529412,0,0,1,1
0,0.1,babble,10.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.1,babble,10.0,spk2,1.647059,1.647059,0.411765,0.411765,0.588235,0,1,1,1
0,0.1,babble,5.0,spk1,1.933333,1.933333,1.866667,1.866667,1.933333,0,1,1,0
0,0.1,babble,5.0,spk2,0.705882,0.705882,0.705882,6.470588,0.823529,0,1,1,1
0,0.1,babble,0.0,spk1,1.6,1.6,1.6,2.333333,1.0,0,1,1,1
0,0.1,babble,0.0,spk2,1.0,1.0,1.0,6.647059,1.0,0,0,1,0
0,0.3,clean,clean,spk1,0.466667,0.466667,0.466667,0.4,0.466667,1,1,1,0
0,0.3,clean,clean,spk2,0.176471,0.235294,0.294118,0.176471,0.176471,1,1,0,0
0,0.3,white,10.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.3,white,10.0,spk2,0.470588,0.470588,0.352941,0.235294,0.470588,0,1,1,0
0,0.3,white,5.0,spk1,0.4,0.4,0.4,0.4,0.4,0,0,0,0
0,0.3,white,5.0,spk2,0.529412,0.529412,0.411765,0.529412,0.529412,0,1,1,0
0,0.3,white,0.0,spk1,0.733333,0.733333,0.733333,0.733333,0.733333,0,0,1,0
0,0.3,white,0.0,spk2,0.882353,0.882353,13.0,1.058824,1.0,0,1,1,1
0,0.3,pink,10.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.3,pink,10.0,spk2,0.294118,0.294118,0.294118,0.294118,0.294118,0,0,1,0
0,0.3,pink,5.0,spk1,0.466667,0.466667,0.466667,0.466667,0.466667,0,0,0,0
0,0.3,pink,5.0,spk2,0.411765,0.411765,0.411765,0.411765,0.411765,0,0,1,0
0,0.3,pink,0.0,spk1,0.6,0.6,0.6,0.6,0.6,0,0,0,0
0,0.3,pink,0.0,spk2,0.529412,0.529412,0.529412,0.470588,0.529412,0,0,1,0
0,0.3,babble,10.0,spk1,0.466667,0.466667,0.466667,0.2,0.466667,0,1,1,0
0,0.3,babble,10.0,spk2,0.588235,0.588235,0.529412,0.529412,0.588235,0,1,1,1
0,0.3,babble,5.0,spk1,0.8,0.8,0.8,0.6,0.8,0,1,1,0
0,0.3,babble,5.0,spk2,2.0,2.0,0.588235,1.0,1.0,0,1,1,1
0,0.3,babble,0.0,spk1,1.0,1.0,1.0,1.266667,1.0,0,0,1,0
0,0.3,babble,0.0,spk2,1.647059,1.647059,1.0,0.941176,7.882353,0,1,1,1
1,0.0,clean,clean,spk1,0.636364,0.636364,0.636364,0.636364,0.636364,0,0,0,0
1,0.0,clean,clean,spk2,0.3,0.1,0.1,0.0,0.3,1,1,1,0
1,0.0,white,10.0,spk1,1.090909,1.090909,1.272727,0.909091,1.0,0,1,1,1
1,0.0,white,10.0,spk2,0.6,0.6,0.6,0.5,0.6,0,0,1,0
1,0.0,white,5.0,spk1,1.0,1.0,0.909091,1.0,1.0,0,1,1,1
1,0.0,white,5.0,spk2,0.5,0.5,0.9,0.6,0.5,0,1,1,0
1,0.0,white,0.0,spk1,0.909091,0.909091,1.0,1.0,1.0,0,1,1,1
1,0.0,white,0.0,spk2,1.0,1.0,1.0,14.9,0.9,0,1,1,1
1,0.0,pink,10.0,spk1,0.818182,0.818182,0.818182,0.727273,0.818182,0,0,1,0
1,0.0,pink,10.0,spk2,0.9,0.9,0.9,0.6,0.9,0,0,1,0
1,0.0,pink,5.0,spk1,1.090909,1.090909,1.090909,1.181818,1.0,0,0,1,1
1,0.0,pink,5.0,spk2,0.6,0.6,0.6,0.5,0.6,0,0,1,0
1,0.0,pink,0.0,spk1,1.0,1.0,1.0,1.0,1.0,0,0,1,1
1,0.0,pink,0.0,spk2,0.6,0.6,0.6,0.6,0.6,0,0,0,0
1,0.0,babble,10.0,spk1,1.181818,1.181818,1.181818,1.181818,1.181818,0,0,0,0
1,0.0,babble,10.0,spk2,0.7,0.7,0.6,0.5,0.7,0,1,1,0
1,0.0,babble,5.0,spk1,0.727273,0.727273,0.727273,0.909091,1.0,0,0,1,1
1,0.0,babble,5.0,spk2,22.3,22.3,0.8,1.0,22.3,0,1,1,0
1,0.0,babble,0.0,spk1,2.090909,2.090909,3.272727,3.181818,2.090909,0,1,1,0
1,0.0,babble,0.0,spk2,1.0,1.0,1.0,22.3,1.0,0,0,1,0
1,0.1,clean,clean,spk1,0.636364,0.636364,0.636364,0.636364,0.636364,0,0,0,0
1,0.1,clean,clean,spk2,0.3,0.1,0.1,0.0,0.3,1,1,1,0
1,0.1,white,10.0,spk1,1.090909,1.090909,1.0,1.0,1.090909,0,1,1,0
1,0.1,white,10.0,spk2,0.4,0.4,0.4,0.6,0.4,0,1,1,0
1,0.1,white,5.0,spk1,27.0,27.0,0.909091,0.909091,27.0,0,1,1,0
1,0.1,white,5.0,spk2,0.6,0.6,0.7,0.7,0.6,0,1,1,0
1,0.1,white,0.0,spk1,1.090909,1.090909,1.0,1.0,1.0,0,1,1,1
1,0.1,white,0.0,spk2,0.7,0.7,1.0,0.9,0.7,0,1,1,0
1,0.1,pink,10.0,spk1,0.909091,0.909091,0.909091,0.727273,0.909091,0,0,1,0
1,0.1,pink,10.0,spk2,0.4,0.4,0.4,0.5,0.4,0,0,1,0
1,0.1,pink,5.0,spk1,20.181818,20.181818,20.181818,0.909091,20.181818,0,0,1,0
1,0.1,pink,5.0,spk2,0.5,0.5,0.5,0.4,0.5,0,0,1,0
1,0.1,pink,0.0,spk1,1.090909,1.090909,1.090909,1.0,1.0,0,0,1,1
1,0.1,pink,0.0,spk2,0.6,0.6,0.6,0.6,0.6,0,0,0,0
1,0.1,babble,10.0,spk1,0.909091,0.909091,0.727273,0.818182,1.0,0,1,1,1
1,0.1,babble,10.0,spk2,1.0,1.0,1.1,1.0,1.0,0,1,0,0
1,0.1,babble,5.0,spk1,2.0,2.0,1.0,1.636364,1.272727,0,1,1,1
1,0.1,babble,5.0,spk2,4.0,4.0,1.0,1.0,1.0,0,1,1,1
1,0.1,babble,0.0,spk1,4.363636,4.363636,4.363636,11.272727,20.272727,0,0,1,1
1,0.1,babble,0.0,spk2,2.3,2.3,2.3,2.4,22.3,0,0,1,1
1,0.3,clean,clean,spk1,0.636364,0.636364,0.636364,0.636364,0.636364,0,0,0,0
1,0.3,clean,clean,spk2,0.1,0.1,0.1,0.0,0.1,1,1,1,0
1,0.3,white,10.0,spk1,20.272727,20.272727,1.181818,20.272727,20.272727,0,1,1,0
1,0.3,white,10.0,spk2,0.4,0.4,0.1,0.6,0.4,0,1,1,0
1,0.3,white,5.0,spk1,1.181818,1.181818,1.090909,1.0,1.0,0,1,1,1
1,0.3,white,5.0,spk2,0.5,0.5,0.5,0.4,0.5,0,1,1,0
1,0.3,white,0.0,spk1,1.0,1.0,1.0,1.0,1.0,0,1,1,1
1,0.3,white,0.0,spk2,0.7,0.7,0.9,10.4,0.7,0,1,1,0
1,0.3,pink,10.0,spk1,0.727273,0.727273,0.727273,1.0,0.727273,0,0,1,0
1,0.3,pink,10.0,spk2,0.3,0.3,0.3,0.3,0.3,0,0,1,0
1,0.3,pink,5.0,spk1,0.818182,0.818182,0.818182,0.727273,0.545455,0,0,1,1
1,0.3,pink,5.0,spk2,0.5,0.5,0.5,0.5,0.5,0,0,1,0
1,0.3,pink,0.0,spk1,1.0,1.0,1.0,1.090909,1.0,0,0,1,1
1,0.3,pink,0.0,spk2,0.6,0.6,0.6,0.6,0.6,0,0,1,0
1,0.3,babble,10.0,spk1,1.909091,1.909091,1.272727,19.909091,1.909091,0,1,1,0
1,0.3,babble,10.0,spk2,0.7,0.7,0.7,0.7,0.7,0,0,0,0
1,0.3,babble,5.0,spk1,1.363636,1.363636,1.545455,2.090909,1.363636,0,1,1,0
1,0.3,babble,5.0,spk2,1.8,1.8,3.5,1.0,1.8,0,1,1,0
1,0.3,babble,0.0,spk1,3.272727,3.272727,1.636364,1.0,20.272727,0,1,1,1
1,0.3,babble,0.0,spk2,1.0,1.0,1.0,1.0,1.0,0,0,0,0
2,0.0,clean,clean,spk1,0.909091,0.909091,0.909091,0.818182,0.909091,0,0,1,0
2,0.0,clean,clean,spk2,0.428571,0.285714,0.285714,0.428571,0.428571,1,1,0,0
2,0.0,white,10.0,spk1,0.909091,0.909091,0.909091,0.636364,0.909091,0,1,1,0
2,0.0,white,10.0,spk2,0.285714,0.285714,0.857143,0.285714,0.285714,0,1,0,0
2,0.0,white,5.0,spk1,0.818182,0.818182,0.909091,7.0,0.818182,0,1,1,0
2,0.0,white,5.0,spk2,0.857143,0.857143,0.857143,1.0,0.857143,0,0,1,0
2,0.0,white,0.0,spk1,0.727273,0.727273,0.727273,7.0,0.727273,0,1,1,0
2,0.0,white,0.0,spk2,1.0,1.0,1.0,1.0,1.0,0,0,0,0
2,0.0,pink,10.0,spk1,0.818182,0.818182,0.818182,1.0,0.818182,0,0,1,0
2,0.0,pink,10.0,spk2,0.285714,0.285714,0.285714,0.285714,0.285714,0,0,0,0
2,0.0,pink,5.0,spk1,0.636364,0.636364,0.636364,10.181818,0.636364,0,0,1,0
2,0.0,pink,5.0,spk2,0.571429,0.571429,0.571429,0.571429,0.571429,0,0,0,0
2,0.0,pink,0.0,spk1,0.636364,0.636364,1.0,0.636364,0.636364,0,1,1,0
2,0.0,pink,0.0,spk2,0.857143,0.857143,0.857143,0.857143,0.857143,0,0,1,0
2,0.0,babble,10.0,spk1,0.818182,0.818182,0.818182,0.909091,0.818182,0,0,1,0
2,0.0,babble,10.0,spk2,0.142857,0.142857,1.714286,0.571429,0.142857,0,1,1,0
2,0.0,babble,5.0,spk1,0.818182,0.818182,0.818182,10.090909,0.818182,0,0,1,0
2,0.0,babble,5.0,spk2,1.0,1.0,2.0,1.0,1.0,0,1,0,0
2,0.0,babble,0.0,spk1,1.363636,1.363636,1.0,1.454545,1.0,0,1,1,1
2,0.0,babble,0.0,spk2,13.428571,13.428571,1.0,13.0,13.428571,0,1,1,0
2,0.1,clean,clean,spk1,0.909091,0.909091,0.909091,0.818182,0.909091,0,0,1,0
2,0.1,clean,clean,spk2,0.285714,0.285714,0.285714,0.285714,0.285714,0,0,0,0
2,0.1,white,10.0,spk1,0.909091,0.909091,0.818182,4.727273,0.909091,0,1,1,0
2,0.1,white,10.0,spk2,0.857143,0.857143,0.571429,0.285714,0.857143,0,1,1,0
2,0.1,white,5.0,spk1,0.636364,0.636364,1.0,10.181818,0.636364,0,1,1,0
2,0.1,white,5.0,spk2,0.857143,0.857143,0.857143,0.714286,0.857143,0,1,1,0
2,0.1,white,0.0,spk1,0.909091,0.909091,0.909091,7.363636,0.909091,0,1,1,0
2,0.1,white,0.0,spk2,0.857143,0.857143,1.0,0.857143,0.857143,0,1,1,0
2,0.1,pink,10.0,spk1,0.818182,0.818182,0.818182,15.454545,0.818182,0,0,1,0
2,0.1,pink,10.0,spk2,0.285714,0.285714,0.285714,0.285714,0.285714,0,0,0,0
2,0.1,pink,5.0,spk1,0.818182,0.818182,0.818182,6.818182,0.818182,0,0,1,0
2,0.1,pink,5.0,spk2,0.285714,0.285714,0.285714,0.285714,0.285714,0,0,0,0
2,0.1,pink,0.0,spk1,0.636364,0.636364,0.636364,5.727273,0.636364,0,0,1,0
2,0.1,pink,0.0,spk2,0.857143,0.857143,0.857143,0.714286,0.857143,0,0,1,0
2,0.1,babble,10.0,spk1,0.818182,0.818182,0.818182,10.181818,0.818182,0,0,1,0
2,0.1,babble,10.0,spk2,0.285714,0.285714,0.142857,0.142857,0.285714,0,1,1,0
2,0.1,babble,5.0,spk1,1.818182,1.818182,2.181818,1.454545,1.0,0,1,1,1
2,0.1,babble,5.0,spk2,2.714286,2.714286,1.0,3.285714,1.0,0,1,1,1
2,0.1,babble,0.0,spk1,1.0,1.0,1.181818,20.272727,1.0,0,1,1,0
2,0.1,babble,0.0,spk2,2.714286,2.714286,1.0,3.428571,1.0,0,1,1,1
2,0.3,clean,clean,spk1,0.909091,0.909091,0.909091,0.818182,0.909091,0,0,1,0
2,0.3,clean,clean,spk2,0.285714,0.285714,0.285714,0.285714,0.285714,0,0,0,0
2,0.3,white,10.0,spk1,0.818182,0.818182,0.818182,6.181818,0.818182,0,0,1,0
2,0.3,white,10.0,spk2,1.0,1.0,0.714286,0.571429,1.0,0,1,1,0
2,0.3,white,5.0,spk1,0.727273,0.727273,0.818182,6.363636,0.727273,0,1,1,0
2,0.3,white,5.0,spk2,0.714286,0.714286,0.714286,0.428571,0.714286,0,0,1,0
2,0.3,white,0.0,spk1,0.909091,0.909091,0.909091,7.0,0.909091,0,1,1,0
2,0.3,white,0.0,spk2,1.0,1.0,1.0,1.0,1.0,0,0,0,0
2,0.3,pink,10.0,spk1,0.818182,0.818182,0.818182,1.0,0.818182,0,0,1,0
2,0.3,pink,10.0,spk2,0.714286,0.714286,0.285714,0.571429,0.714286,0,1,1,0
2,0.3,pink,5.0,spk1,0.545455,0.545455,0.545455,5.272727,0.545455,0,1,1,0
2,0.3,pink,5.0,spk2,0.571429,0.571429,0.571429,0.571429,0.571429,0,0,1,0
2,0.3,pink,0.0,spk1,0.727273,0.727273,0.727273,1.636364,0.727273,0,0,1,0
2,0.3,pink,0.0,spk2,0.857143,0.857143,0.857143,0.857143,0.857143,0,0,1,0
2,0.3,babble,10.0,spk1,0.727273,0.727273,0.454545,1.181818,0.727273,0,1,1,0
2,0.3,babble,10.0,spk2,2.285714,2.285714,2.142857,0.142857,2.285714,0,1,1,0
2,0.3,babble,5.0,spk1,0.818182,0.818182,0.818182,0.818182,0.818182,0,0,1,0
2,0.3,babble,5.0,spk2,1.857143,1.857143,0.285714,0.428571,1.857143,0,1,1,0
2,0.3,babble,0.0,spk1,1.0,1.0,20.181818,1.0,1.0,0,1,0,0
2,0.3,babble,0.0,spk2,31.714286,31.714286,1.0,23.714286,31.714286,0,1,1,0
3,0.0,clean,clean,spk1,0.777778,0.777778,0.777778,0.888889,0.777778,1,1,1,0
3,0.0,clean,clean,spk2,0.222222,0.222222,0.222222,0.444444,0.222222,0,0,1,0
3,0.0,white,10.0,spk1,0.777778,0.777778,0.888889,0.777778,0.777778,0,1,0,0
3,0.0,white,10.0,spk2,0.444444,0.444444,0.444444,0.666667,0.444444,0,1,1,0
3,0.0,white,5.0,spk1,0.777778,0.777778,0.777778,1.0,1.0,0,0,1,1
3,0.0,white,5.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,0,0
3,0.0,white,0.0,spk1,1.0,1.0,1.0,1.0,1.0,0,1,1,1
3,0.0,white,0.0,spk2,0.666667,0.666667,0.666667,0.555556,0.666667,0,1,1,0
3,0.0,pink,10.0,spk1,0.888889,0.888889,0.888889,0.888889,0.888889,0,0,1,0
3,0.0,pink,10.0,spk2,0.111111,0.111111,0.111111,0.111111,0.111111,0,0,0,0
3,0.0,pink,5.0,spk1,0.888889,0.888889,0.888889,0.888889,1.0,0,0,1,1
3,0.0,pink,5.0,spk2,0.444444,0.444444,0.444444,0.888889,0.444444,0,0,1,0
3,0.0,pink,0.0,spk1,0.888889,0.888889,0.888889,1.222222,1.0,0,0,1,1
3,0.0,pink,0.0,spk2,0.555556,0.555556,0.555556,0.777778,0.555556,0,0,1,0
3,0.0,babble,10.0,spk1,0.777778,0.777778,0.777778,0.777778,1.0,0,0,1,1
3,0.0,babble,10.0,spk2,0.666667,0.666667,0.666667,0.666667,0.666667,0,0,0,0
3,0.0,babble,5.0,spk1,1.0,1.0,1.0,1.0,1.0,0,0,0,0
3,0.0,babble,5.0,spk2,2.666667,2.666667,1.0,1.444444,1.0,0,1,1,1
3,0.0,babble,0.0,spk1,1.0,1.0,1.0,2.888889,1.0,0,0,1,0
3,0.0,babble,0.0,spk2,24.777778,24.777778,2.222222,0.777778,24.777778,0,1,1,0
3,0.1,clean,clean,spk1,0.777778,0.777778,0.777778,0.888889,0.777778,1,1,1,0
3,0.1,clean,clean,spk2,0.444444,0.222222,0.222222,0.444444,0.444444,1,1,0,0
3,0.1,white,10.0,spk1,1.0,1.0,1.0,1.0,1.0,0,0,0,0
3,0.1,white,10.0,spk2,0.444444,0.444444,0.444444,0.666667,0.444444,0,0,1,0
3,0.1,white,5.0,spk1,0.888889,0.888889,0.888889,1.0,0.888889,0,0,1,1
3,0.1,white,5.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,0,0
3,0.1,white,0.0,spk1,19.777778,19.777778,1.111111,1.222222,19.777778,0,1,1,0
3,0.1,white,0.0,spk2,0.555556,0.555556,0.888889,1.0,1.0,0,1,1,1
3,0.1,pink,10.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,0
3,0.1,pink,10.0,spk2,0.444444,0.444444,0.444444,0.555556,0.444444,0,0,1,0
3,0.1,pink,5.0,spk1,1.111111,1.111111,1.111111,1.0,1.111111,0,0,1,0
3,0.1,pink,5.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,0,0
3,0.1,pink,0.0,spk1,1.222222,1.222222,1.222222,0.888889,1.0,0,0,1,1
3,0.1,pink,0.0,spk2,0.555556,0.555556,0.555556,0.666667,0.555556,0,0,1,0
3,0.1,babble,10.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,1
3,0.1,babble,10.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,1,1,0
3,0.1,babble,5.0,spk1,1.777778,1.777778,1.777778,1.222222,1.0,0,0,1,1
3,0.1,babble,5.0,spk2,1.111111,1.111111,1.111111,1.111111,1.111111,0,0,1,0
3,0.1,babble,0.0,spk1,1.0,1.0,1.0,12.444444,1.0,0,0,1,0
3,0.1,babble,0.0,spk2,2.222222,2.222222,2.555556,18.777778,2.222222,0,1,1,0
3,0.3,clean,clean,spk1,0.777778,0.777778,0.777778,0.888889,0.777778,1,1,1,0
3,0.3,clean,clean,spk2,0.444444,0.222222,0.222222,0.444444,0.444444,1,1,0,0
3,0.3,white,10.0,spk1,0.888889,0.888889,0.888889,0.888889,1.0,0,0,1,1
3,0.3,white,10.0,spk2,0.555556,0.555556,0.444444,0.666667,0.555556,0,1,1,0
3,0.3,white,5.0,spk1,1.0,1.0,1.222222,1.111111,1.0,0,1,1,1
3,0.3,white,5.0,spk2,0.777778,0.777778,0.666667,0.777778,0.777778,0,1,1,0
3,0.3,white,0.0,spk1,1.0,1.0,1.0,1.0,1.0,0,1,1,0
3,0.3,white,0.0,spk2,1.222222,1.222222,1.111111,0.888889,1.0,0,1,1,1
3,0.3,pink,10.0,spk1,0.666667,0.666667,0.666667,0.666667,0.666667,0,0,0,0
3,0.3,pink,10.0,spk2,0.555556,0.555556,0.555556,0.555556,0.555556,0,0,1,0
3,0.3,pink,5.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,0
3,0.3,pink,5.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,0,0
3,0.3,pink,0.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,1
3,0.3,pink,0.0,spk2,0.444444,0.444444,0.444444,0.444444,0.444444,0,0,1,0
3,0.3,babble,10.0,spk1,0.666667,0.666667,0.666667,0.777778,0.666667,0,0,1,0
3,0.3,babble,10.0,spk2,0.444444,0.444444,0.111111,0.444444,0.444444,0,1,0,0
3,0.3,babble,5.0,spk1,1.0,1.0,1.0,1.0,1.0,0,0,0,0
3,0.3,babble,5.0,spk2,2.777778,2.777778,1.0,0.888889,1.333333,0,1,1,1
3,0.3,babble,0.0,spk1,24.777778,24.777778,1.0,2.111111,24.777778,0,1,1,0
3,0.3,babble,0.0,spk2,1.0,1.0,1.0,9.0,1.0,0,0,1,0
