pair_id,con,pro,overlap_ratio,cer_tiny,cer_base,cr_tiny,runtime_tiny,runtime_base,cer_cascade_0.0,escalate_frac_0.0,runtime_cascade_0.0,cer_cascade_0.5,escalate_frac_0.5,runtime_cascade_0.5,cer_cascade_0.7,escalate_frac_0.7,runtime_cascade_0.7,cer_cascade_0.8,escalate_frac_0.8,runtime_cascade_0.8,cer_cascade_0.9,escalate_frac_0.9,runtime_cascade_0.9,cer_cascade_1.0,escalate_frac_1.0,runtime_cascade_1.0
0,con_001.wav,pro_001.wav,0.0,0.34375,0.3125,0.8226,0.518,0.502,0.3125,1.0,0.518,0.3125,1.0,0.518,0.3125,1.0,0.518,0.3125,1.0,0.518,0.34375,0.0,0.518,0.34375,0.0,0.518
0,con_001.wav,pro_001.wav,0.15,0.34375,0.3125,0.8226,0.259,0.503,0.3125,1.0,0.259,0.3125,1.0,0.259,0.3125,1.0,0.259,0.3125,1.0,0.259,0.34375,0.0,0.259,0.34375,0.0,0.259
0,con_001.wav,pro_001.wav,0.35,0.34375,0.3125,0.8226,0.249,0.479,0.3125,1.0,0.249,0.3125,1.0,0.249,0.3125,1.0,0.249,0.3125,1.0,0.249,0.34375,0.0,0.249,0.34375,0.0,0.249
0,con_001.wav,pro_001.wav,0.6,0.34375,0.3125,0.8226,0.242,0.477,0.3125,1.0,0.242,0.3125,1.0,0.242,0.3125,1.0,0.242,0.3125,1.0,0.242,0.34375,0.0,0.242,0.34375,0.0,0.242
0,con_001.wav,pro_001.wav,0.9,0.34375,0.3125,0.8226,0.246,0.478,0.3125,1.0,0.246,0.3125,1.0,0.246,0.3125,1.0,0.246,0.3125,1.0,0.246,0.34375,0.0,0.246,0.34375,0.0,0.246
1,con_002.wav,pro_008.wav,0.0,0.380952,0.142857,0.8824,0.21,0.481,0.142857,1.0,0.21,0.142857,1.0,0.21,0.142857,1.0,0.21,0.190476,0.5,0.21,0.380952,0.0,0.21,0.380952,0.0,0.21
1,con_002.wav,pro_008.wav,0.15,0.380952,0.142857,0.8824,0.231,0.423,0.142857,1.0,0.231,0.142857,1.0,0.231,0.142857,1.0,0.231,0.190476,0.5,0.231,0.380952,0.0,0.231,0.380952,0.0,0.231
1,con_002.wav,pro_008.wav,0.35,0.380952,0.142857,0.8824,0.243,0.445,0.142857,1.0,0.243,0.142857,1.0,0.243,0.142857,1.0,0.243,0.190476,0.5,0.243,0.380952,0.0,0.243,0.380952,0.0,0.243
1,con_002.wav,pro_008.wav,0.6,0.380952,0.142857,0.8824,0.213,0.44,0.142857,1.0,0.213,0.142857,1.0,0.213,0.142857,1.0,0.213,0.190476,0.5,0.213,0.380952,0.0,0.213,0.380952,0.0,0.213
1,con_002.wav,pro_008.wav,0.9,0.380952,0.142857,0.8824,0.205,0.429,0.142857,1.0,0.205,0.142857,1.0,0.205,0.142857,1.0,0.205,0.190476,0.5,0.205,0.380952,0.0,0.205,0.380952,0.0,0.205
2,con_003.wav,pro_015.wav,0.0,0.666667,0.111111,0.7105,0.189,0.398,0.111111,1.0,0.189,0.111111,1.0,0.189,0.166667,0.5,0.189,0.666667,0.0,0.189,0.666667,0.0,0.189,0.666667,0.0,0.189
2,con_003.wav,pro_015.wav,0.15,0.666667,0.111111,0.7105,0.207,0.407,0.111111,1.0,0.207,0.111111,1.0,0.207,0.166667,0.5,0.207,0.666667,0.0,0.207,0.666667,0.0,0.207,0.666667,0.0,0.207
2,con_003.wav,pro_015.wav,0.35,0.666667,0.111111,0.7105,0.199,0.469,0.111111,1.0,0.199,0.111111,1.0,0.199,0.166667,0.5,0.199,0.666667,0.0,0.199,0.666667,0.0,0.199,0.666667,0.0,0.199
2,con_003.wav,pro_015.wav,0.6,0.666667,0.111111,0.7105,0.222,0.427,0.111111,1.0,0.222,0.111111,1.0,0.222,0.166667,0.5,0.222,0.666667,0.0,0.222,0.666667,0.0,0.222,0.666667,0.0,0.222
2,con_003.wav,pro_015.wav,0.9,0.666667,0.111111,0.7105,0.198,0.39,0.111111,1.0,0.198,0.111111,1.0,0.198,0.166667,0.5,0.198,0.666667,0.0,0.198,0.666667,0.0,0.198,0.666667,0.0,0.198
3,con_004.wav,pro_007.wav,0.0,0.444444,0.333333,0.7317,0.194,0.414,0.333333,1.0,0.194,0.333333,1.0,0.194,0.388889,0.5,0.194,0.444444,0.0,0.194,0.444444,0.0,0.194,0.444444,0.0,0.194
3,con_004.wav,pro_007.wav,0.15,0.444444,0.333333,0.7317,0.21,0.44,0.333333,1.0,0.21,0.333333,1.0,0.21,0.388889,0.5,0.21,0.444444,0.0,0.21,0.444444,0.0,0.21,0.444444,0.0,0.21
3,con_004.wav,pro_007.wav,0.35,0.444444,0.333333,0.7317,0.196,0.414,0.333333,1.0,0.196,0.333333,1.0,0.196,0.388889,0.5,0.196,0.444444,0.0,0.196,0.444444,0.0,0.196,0.444444,0.0,0.196
3,con_004.wav,pro_007.wav,0.6,0.444444,0.333333,0.7317,0.197,0.421,0.333333,1.0,0.197,0.333333,1.0,0.197,0.388889,0.5,0.197,0.444444,0.0,0.197,0.444444,0.0,0.197,0.444444,0.0,0.197
3,con_004.wav,pro_007.wav,0.9,0.444444,0.333333,0.7317,0.192,0.423,0.333333,1.0,0.192,0.333333,1.0,0.192,0.388889,0.5,0.192,0.444444,0.0,0.192,0.444444,0.0,0.192,0.444444,0.0,0.192
4,con_005.wav,pro_014.wav,0.0,0.5,0.1,0.7692,0.227,0.415,0.1,1.0,0.227,0.1,1.0,0.227,0.1,1.0,0.227,0.5,0.0,0.227,0.5,0.0,0.227,0.5,0.0,0.227
4,con_005.wav,pro_014.wav,0.15,0.5,0.1,0.7692,0.202,0.406,0.1,1.0,0.202,0.1,1.0,0.202,0.1,1.0,0.202,0.5,0.0,0.202,0.5,0.0,0.202,0.5,0.0,0.202
4,con_005.wav,pro_014.wav,0.35,0.5,0.1,0.7692,0.192,0.403,0.1,1.0,0.192,0.1,1.0,0.192,0.1,1.0,0.192,0.5,0.0,0.192,0.5,0.0,0.192,0.5,0.0,0.192
4,con_005.wav,pro_014.wav,0.6,0.5,0.1,0.7692,0.198,0.413,0.1,1.0,0.198,0.1,1.0,0.198,0.1,1.0,0.198,0.5,0.0,0.198,0.5,0.0,0.198,0.5,0.0,0.198
4,con_005.wav,pro_014.wav,0.9,0.5,0.1,0.7692,0.197,0.404,0.1,1.0,0.197,0.1,1.0,0.197,0.1,1.0,0.197,0.5,0.0,0.197,0.5,0.0,0.197,0.5,0.0,0.197
